Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
FASLG,0.358,N/A,-0.796,N/A,0.239,N/A
miR-208a-3p (and other miRNAs w/seed UAAGACG),N/A,-1.067,-0.323,N/A,N/A,N/A
ECHS1,N/A,N/A,1.387,N/A,N/A,N/A
CHCHD5,N/A,1.387,N/A,N/A,N/A,N/A
SGCD,N/A,N/A,1.387,N/A,N/A,N/A
LMX1A,N/A,N/A,N/A,N/A,N/A,-1.387
PPM1A,N/A,N/A,-1.387,N/A,N/A,N/A
"2,3 butanedione monoxime",N/A,N/A,N/A,N/A,N/A,-1.387
CSNK2B,N/A,N/A,1.387,N/A,N/A,N/A
IL25,N/A,-0.808,N/A,N/A,0.577,N/A
marimastat,N/A,-0.655,0.728,N/A,N/A,N/A
PTX3,0.307,N/A,-0.924,-0.029,-0.121,N/A
PUM1,N/A,N/A,-1.38,N/A,N/A,N/A
FANCC,N/A,-1,0,0,N/A,-0.378
H2AB3 (includes others),N/A,0,1,N/A,0.378,N/A
NUDT21,N/A,-0.896,-0.478,N/A,N/A,N/A
ETV1,N/A,1.134,-0.231,N/A,N/A,N/A
ZYX,N/A,-0.626,-0.735,N/A,N/A,N/A
SGPP2,N/A,N/A,-1.36,N/A,N/A,N/A
BECN1,N/A,N/A,-1.355,N/A,N/A,N/A
POMC,-0.766,N/A,N/A,0.588,N/A,N/A
SNHG11,N/A,N/A,-1.345,N/A,N/A,N/A
MBD3,N/A,N/A,-1.342,N/A,N/A,N/A
CYBB,N/A,N/A,N/A,1.342,N/A,N/A
lipid,N/A,-1.342,N/A,N/A,N/A,N/A
FAM117B,N/A,N/A,N/A,N/A,-1.342,0
indirubin,N/A,N/A,0,-1.342,N/A,0
SMARCA2,N/A,-0.58,N/A,N/A,0.762,N/A
AJUBA,N/A,N/A,1.342,N/A,N/A,N/A
progestin,N/A,N/A,0,N/A,N/A,1.342
RBX1,N/A,N/A,-1.342,N/A,N/A,N/A
MAP1LC3B,N/A,N/A,N/A,N/A,1.342,N/A
Chtop,N/A,1.342,N/A,N/A,N/A,N/A
ALDH1A1,N/A,1.342,N/A,N/A,N/A,N/A
DPP-23,N/A,N/A,N/A,N/A,N/A,-1.342
pegintron,N/A,N/A,1.342,N/A,N/A,N/A
NRP2,N/A,N/A,-1.342,N/A,N/A,N/A
ATP6V1C2,N/A,N/A,-1.342,N/A,N/A,N/A
MED13,N/A,N/A,N/A,N/A,1.342,N/A
menthol,N/A,N/A,1.342,N/A,0,N/A
ponesimod,N/A,-1.342,N/A,N/A,N/A,0
FABP5,-1.342,N/A,N/A,N/A,N/A,N/A
"3,5-diiodothyronine",N/A,N/A,1.342,N/A,N/A,N/A
galactosylceramide-alpha,0,N/A,N/A,-0.849,-0.492,N/A
L-histidine,N/A,N/A,-1.341,N/A,N/A,N/A
sildenafil,N/A,N/A,N/A,-1.016,N/A,-0.324
miR-203a-3p (and other miRNAs w/seed UGAAAUG),N/A,1.338,N/A,N/A,N/A,N/A
stearic acid,N/A,N/A,-1.337,N/A,0,N/A
DUX4,N/A,1.117,N/A,N/A,N/A,-0.213
RYR1,N/A,N/A,1.329,N/A,N/A,N/A
CHRNA3,N/A,N/A,-1.325,N/A,N/A,N/A
GRIN2A,N/A,-0.58,N/A,N/A,N/A,0.745
miR-141-3p (and other miRNAs w/seed AACACUG),N/A,-0.159,0.338,-0.463,N/A,0.362
calmodulin,N/A,1.32,N/A,0,N/A,N/A
GCR/glucocorticoid dimer,N/A,N/A,-1.317,N/A,N/A,N/A
ILKAP,N/A,N/A,-1.316,N/A,N/A,N/A
DYSF,N/A,-0.278,1.036,N/A,N/A,N/A
NFE2L2,0.245,0.15,-0.187,-0.194,0.278,-0.258
ellagic acid,N/A,0.689,0.422,N/A,0.038,-0.161
EFNB1,N/A,N/A,-0.243,N/A,N/A,-1.067
NF2,N/A,N/A,-1.194,N/A,0.115,N/A
(+)-catechin,N/A,N/A,-0.308,N/A,N/A,1
SCH79797,N/A,1.253,-0.054,N/A,N/A,N/A
cholic acid,N/A,-1.062,N/A,N/A,0.245,N/A
ANTXR2,N/A,N/A,-1.299,N/A,N/A,N/A
BMPR1A,0.728,N/A,N/A,-0.567,N/A,N/A
ANO1,N/A,-0.926,-0.365,N/A,N/A,N/A
huaier extract granule,N/A,N/A,1.288,N/A,N/A,N/A
CNOT3,N/A,1.287,N/A,N/A,N/A,N/A
RANBP3L,N/A,N/A,0.471,N/A,0.816,N/A
UBE3D,N/A,-0.954,-0.333,N/A,N/A,N/A
TRPM2-AS,N/A,N/A,-1.287,N/A,N/A,N/A
K+,N/A,0.122,1.115,0.049,N/A,N/A
histone deacetylase inhibitor,N/A,N/A,-1.286,N/A,N/A,N/A
succinic acid,N/A,-1.108,-0.176,N/A,N/A,N/A
UBE2I,N/A,N/A,N/A,-0.152,1.131,N/A
penfluridol,N/A,-0.351,N/A,N/A,N/A,-0.927
miR-541-5p (and other miRNAs w/seed AAGGAUU),N/A,N/A,1.276,N/A,N/A,N/A
NR2F1,N/A,1.276,N/A,N/A,N/A,N/A
Hif1,N/A,N/A,0.083,1.192,N/A,N/A
SFLLRN (PAR1-activator),N/A,0,-1.265,N/A,N/A,N/A
miR-129-5p (and other miRNAs w/seed UUUUUGC),N/A,N/A,N/A,N/A,N/A,1.264
mir-217 (includes others),N/A,N/A,N/A,N/A,1.264,N/A
VEGFC,N/A,-1.195,N/A,N/A,N/A,-0.068
RAE1,N/A,0.816,N/A,N/A,N/A,0.447
pyridoxine,N/A,0,-0.816,0,N/A,0.447
amentoflavone,N/A,N/A,-0.816,N/A,0.447,0
DDX25,N/A,N/A,N/A,N/A,N/A,1.26
propylthiouracil,N/A,-0.781,-0.318,N/A,0,0.158
miR-137-3p (miRNAs w/seed UAUUGCU),N/A,N/A,1.257,N/A,N/A,N/A
H19,N/A,N/A,-1.255,N/A,N/A,N/A
HES1,N/A,N/A,N/A,1.254,N/A,N/A
miR-23a-3p (and other miRNAs w/seed UCACAUU),N/A,0.069,1.038,N/A,0.147,N/A
NODAL,N/A,N/A,N/A,-1,N/A,-0.254
lisinopril,N/A,N/A,N/A,N/A,N/A,1.246
NPC2,N/A,N/A,0.048,N/A,1.067,0.128
"3,4,5,3',4'-pentachlorobiphenyl",N/A,-0.614,0.499,0.073,N/A,-0.054
histone H3,N/A,-1,-0.239,N/A,N/A,N/A
OLR1,N/A,N/A,N/A,1.237,N/A,N/A
ADH1B,N/A,1.236,N/A,N/A,N/A,N/A
ZNF32,N/A,N/A,0.289,N/A,0.947,N/A
Sik1,N/A,-1.236,N/A,N/A,N/A,N/A
methylphenidate,N/A,N/A,1.232,N/A,N/A,N/A
rhodamine 6G,N/A,N/A,1.231,N/A,N/A,N/A
DIAPH1,N/A,N/A,1.231,N/A,N/A,N/A
atropine,N/A,N/A,-1.231,N/A,N/A,N/A
indican,N/A,N/A,N/A,0.152,0.728,0.351
IFNE,N/A,N/A,0.466,0.762,0,N/A
CUL3,N/A,N/A,0.137,N/A,-1.091,N/A
harmine,N/A,N/A,-0.333,0.447,N/A,-0.447
CYBA,N/A,N/A,1.219,N/A,N/A,N/A
DVL2,N/A,1,-0.218,N/A,N/A,N/A
SFTPD,N/A,N/A,N/A,N/A,1.217,N/A
diethylmaleate,N/A,N/A,-1.217,N/A,N/A,N/A
CAND1,N/A,N/A,-1.214,N/A,N/A,N/A
GNL3L,N/A,N/A,-1.214,N/A,N/A,N/A
NFKB2,-0.426,N/A,N/A,0.409,-0.374,N/A
CCAT2,N/A,N/A,-0.118,0.157,N/A,-0.933
5-fluoro-2'-deoxycytidine,N/A,N/A,1.206,N/A,N/A,N/A
desmopressin,N/A,0.286,-0.074,0.084,N/A,-0.761
TMPRSS6,N/A,N/A,1.203,N/A,N/A,N/A
PTCH1,N/A,0.647,N/A,0.555,N/A,N/A
SLPI,N/A,N/A,1.14,N/A,N/A,-0.059
alpelisib,N/A,1.195,N/A,N/A,N/A,N/A
finasteride,N/A,N/A,1.195,N/A,N/A,N/A
CXCL5,N/A,N/A,-1.195,N/A,N/A,N/A
methylselenic acid,N/A,N/A,-1.195,N/A,N/A,N/A
ampelopsin,N/A,N/A,1.195,N/A,N/A,N/A
VAV2,N/A,N/A,-1.195,N/A,N/A,N/A
RPS6KB1,0.083,N/A,-0.371,-0.277,N/A,-0.463
PROK2,N/A,N/A,-1.192,N/A,N/A,N/A
miR-708-5p (and other miRNAs w/seed AGGAGCU),N/A,N/A,1.189,N/A,N/A,N/A
CD24,N/A,-0.444,0.351,N/A,0,0.385
C1Q (family),N/A,N/A,1.179,N/A,N/A,N/A
nicotinic acid,N/A,1.179,N/A,N/A,N/A,N/A
GAC0001E5,N/A,N/A,-1.177,N/A,N/A,N/A
CYLD,N/A,N/A,N/A,-0.73,N/A,0.444
DCAF1,N/A,N/A,-0.107,-1.067,N/A,N/A
shikonin,N/A,-0.547,N/A,N/A,N/A,0.625
TFPI,N/A,N/A,1.172,N/A,N/A,N/A
DENR,N/A,N/A,1.172,N/A,N/A,N/A
mesalamine,N/A,N/A,1.172,N/A,N/A,0
PURA,N/A,N/A,1.172,N/A,N/A,N/A
PER1,N/A,1.096,0.074,N/A,N/A,N/A
carvacrol,N/A,N/A,-1.165,N/A,N/A,N/A
TFAP4,N/A,N/A,N/A,1.165,N/A,N/A
histidinol,N/A,N/A,1.165,N/A,N/A,N/A
Collagen(s),N/A,N/A,0.095,N/A,N/A,-1.067
PRR11,N/A,N/A,-1.157,N/A,N/A,N/A
ORMDL3,N/A,N/A,N/A,1.154,0,N/A
SCRIB,N/A,1.154,N/A,N/A,N/A,N/A
resatorvid,N/A,N/A,N/A,-1.154,N/A,N/A
calpain inhibitor 2,N/A,N/A,-1.154,N/A,N/A,N/A
HPN,N/A,1.154,N/A,N/A,N/A,N/A
oleoyl-estrone,N/A,-1.153,N/A,N/A,N/A,N/A
PD 153035,N/A,N/A,N/A,N/A,1,-0.152
HSPG2,N/A,N/A,-1.147,N/A,N/A,N/A
SCX,N/A,N/A,N/A,0.068,1.067,N/A
JMY,N/A,N/A,-1.134,N/A,N/A,N/A
MEL T1,N/A,N/A,1.134,N/A,N/A,N/A
ethosuximide,N/A,N/A,1.134,N/A,N/A,N/A
OLIG2,N/A,N/A,N/A,N/A,N/A,1.134
TCOF1,N/A,N/A,1.134,N/A,N/A,N/A
SOX7,N/A,N/A,N/A,N/A,-1.134,N/A
SRA1,N/A,N/A,N/A,N/A,N/A,-1.133
PTBP3,N/A,N/A,-1.132,N/A,N/A,N/A
STAT3 inhibitor VI,N/A,N/A,N/A,-1.131,N/A,N/A
COL4A3,N/A,1.131,N/A,N/A,N/A,N/A
MST1R,N/A,N/A,N/A,N/A,N/A,-1.131
GRM,N/A,1.131,N/A,N/A,N/A,N/A
FAAH,N/A,N/A,N/A,N/A,-1.131,N/A
manassantin B,N/A,N/A,-1.131,N/A,N/A,N/A
RRP1B,N/A,N/A,-1.131,N/A,N/A,N/A
SLC34A1,N/A,N/A,1.131,N/A,N/A,N/A
LTBP1,0.837,N/A,N/A,-0.106,-0.187,N/A
MGAT1,N/A,N/A,-0.128,N/A,N/A,1
SUPT16H,N/A,-0.57,N/A,0.555,N/A,N/A
RBM5,N/A,N/A,0.903,-0.218,N/A,N/A
farnesol,N/A,0,N/A,N/A,N/A,-1.114
arbutin,N/A,-1.114,N/A,N/A,N/A,N/A
FSTL1,N/A,N/A,-1.114,N/A,N/A,N/A
HINT1,N/A,N/A,1.114,N/A,N/A,N/A
edaravone,N/A,-1.109,N/A,N/A,N/A,N/A
NR1D1,N/A,1.109,N/A,N/A,N/A,N/A
NDP,N/A,-0.692,0.416,N/A,N/A,N/A
baicalin,N/A,0.272,N/A,N/A,0.365,0.469
KIF1B,N/A,N/A,N/A,N/A,1.103,N/A
ABL2,N/A,N/A,-1.103,N/A,N/A,N/A
TRIM13,N/A,-1.101,N/A,N/A,N/A,N/A
MECOM,N/A,0.721,0.354,0.025,N/A,N/A
glutathione,0.322,N/A,-0.2,-0.322,-0.097,-0.158
ALOX15,N/A,N/A,0.284,0.81,N/A,N/A
TERF2IP,N/A,-1.093,N/A,N/A,N/A,N/A
glycyrrhizic acid,N/A,N/A,N/A,N/A,1.091,N/A
MXI1,N/A,N/A,N/A,N/A,N/A,-1.091
GYY 4137,N/A,N/A,N/A,N/A,N/A,1.091
MAP3K3,N/A,N/A,1.09,N/A,N/A,N/A
"2,3,4,7,8-pentachlorodibenzofuran",N/A,N/A,1.089,0,N/A,N/A
WNT3,N/A,N/A,-0.436,N/A,-0.651,N/A
PCYT1A,N/A,0.522,-0.552,N/A,N/A,N/A
CTSB,N/A,0.503,N/A,N/A,N/A,-0.567
ADM2,N/A,N/A,1.069,N/A,N/A,N/A
RALA,N/A,N/A,-1.069,N/A,N/A,N/A
GNL1,N/A,N/A,-1.069,N/A,N/A,N/A
octanoic acid,N/A,-1.067,N/A,N/A,N/A,N/A
Ac-YVAD-CMK,N/A,1.067,N/A,N/A,N/A,N/A
NET1,N/A,N/A,1.067,N/A,N/A,N/A
CARM1,N/A,-1.067,N/A,N/A,N/A,N/A
S100A10,N/A,1.067,N/A,N/A,N/A,N/A
BLACAT1,N/A,N/A,-1.067,N/A,N/A,N/A
MIB2,N/A,1.067,N/A,N/A,N/A,N/A
TIMP4,N/A,N/A,-1.067,N/A,N/A,N/A
ACSL1,N/A,N/A,1.067,N/A,N/A,N/A
CCG-1423,N/A,N/A,N/A,N/A,N/A,-1.067
SEW 2871,N/A,N/A,1.067,N/A,N/A,N/A
ELOVL2,N/A,-1.067,N/A,N/A,N/A,N/A
BRD2,N/A,N/A,1.067,N/A,N/A,N/A
triciribine,N/A,1.067,N/A,N/A,N/A,N/A
MHY1485,N/A,N/A,1.067,N/A,N/A,N/A
NEK10,N/A,N/A,1.067,N/A,N/A,N/A
zeranol,N/A,N/A,-1.067,N/A,N/A,N/A
rutin,N/A,1.067,N/A,N/A,N/A,N/A
mir-193 (includes others),N/A,N/A,N/A,-1.067,N/A,N/A
CCAR1,N/A,N/A,1.067,N/A,N/A,N/A
HMGCR,N/A,N/A,1.067,N/A,N/A,N/A
berbamine,N/A,N/A,1.067,N/A,N/A,N/A
meds433,N/A,0.728,0,N/A,-0.333,N/A
PDGF (family),N/A,N/A,-1.06,N/A,N/A,N/A
FZD9,N/A,N/A,N/A,N/A,0.132,0.927
NT5E,N/A,N/A,0.478,-0.577,N/A,N/A
TNFRSF13B,N/A,N/A,1.054,N/A,N/A,N/A
RGS4,N/A,-0.775,N/A,N/A,0.277,N/A
epothilone B,N/A,N/A,0.896,N/A,N/A,-0.152
MIR9-2HG,N/A,N/A,1.044,N/A,N/A,N/A
AC1Q3QWB,N/A,N/A,1.044,N/A,N/A,N/A
alkali-extractable mycelial polysaccharide,N/A,-1.044,N/A,N/A,N/A,N/A
RAI14,N/A,N/A,-1.044,N/A,N/A,N/A
clofibrate,N/A,-1,0.037,N/A,N/A,0.007
SPOP,N/A,N/A,1.041,N/A,N/A,N/A
RAD9A,N/A,N/A,1.038,N/A,N/A,N/A
SHR2554,N/A,N/A,1.038,N/A,N/A,N/A
bosutinib,N/A,0.555,0.478,N/A,N/A,N/A
domoic acid,N/A,N/A,1.029,N/A,N/A,N/A
mir-9 (includes others),N/A,N/A,-0.805,N/A,0.223,N/A
mir-338 (includes others),N/A,1.027,N/A,N/A,N/A,N/A
cytochalasin D,N/A,-0.4,-0.078,-0.443,0.105,N/A
T 0070907,N/A,N/A,-1.026,N/A,N/A,N/A
NEDD4,0.447,N/A,-0.579,N/A,N/A,N/A
SETD1A,N/A,N/A,-1.026,N/A,N/A,N/A
DIO3,N/A,-0.582,N/A,0.198,-0.246,N/A
carnosol,N/A,N/A,N/A,N/A,N/A,1.025
4-octyl itaconate,N/A,N/A,-0.417,N/A,-0.6,0
FOXO,N/A,N/A,-1.016,N/A,N/A,N/A
perifosine,N/A,N/A,-1.015,N/A,N/A,N/A
PVT1,N/A,-1.015,N/A,N/A,N/A,N/A
HIVEP3,N/A,N/A,N/A,N/A,-1.014,N/A
USP11,N/A,N/A,1.011,N/A,N/A,N/A
FAM3C,N/A,N/A,1.008,N/A,N/A,N/A
CD69,-1.007,N/A,N/A,N/A,N/A,N/A
alisertib,N/A,N/A,N/A,N/A,-1.004,N/A
BIRC5,N/A,N/A,1.002,N/A,N/A,N/A
ML141,N/A,N/A,1,N/A,N/A,N/A
FGFR,N/A,N/A,N/A,N/A,N/A,1
TSC22D1,N/A,N/A,-1,N/A,N/A,N/A
PLEKHH2,N/A,N/A,-1,N/A,N/A,N/A
SKL-2001,N/A,N/A,1,N/A,N/A,N/A
EMD,N/A,N/A,N/A,N/A,N/A,-1
bosentan,N/A,N/A,N/A,N/A,1,N/A
SERPIND1,N/A,N/A,-1,N/A,N/A,N/A
WNT10B,N/A,-1,N/A,N/A,N/A,N/A
Cox5b/Gm34962,N/A,N/A,1,N/A,N/A,N/A
PPM1B,N/A,N/A,1,N/A,N/A,N/A
PLCG1,N/A,N/A,N/A,N/A,N/A,1
DSG3,N/A,N/A,-1,N/A,N/A,N/A
dichlororibofuranosylbenzimidazole,N/A,N/A,N/A,N/A,N/A,1
clotrimazole,N/A,-1,N/A,N/A,N/A,N/A
coal tar,N/A,N/A,N/A,N/A,N/A,1
TMPO,N/A,N/A,-1,N/A,N/A,N/A
vaccenic acid,N/A,-1,N/A,N/A,N/A,N/A
formoterol,N/A,1,N/A,N/A,N/A,N/A
monorden,N/A,-1,N/A,N/A,N/A,N/A
Saa3,N/A,N/A,N/A,N/A,-1,N/A
PCM1,N/A,N/A,-1,N/A,N/A,N/A
SMARCD3,N/A,0,N/A,-1,N/A,N/A
scoparone,N/A,N/A,1,N/A,N/A,N/A
PNU282987,N/A,N/A,N/A,N/A,1,N/A
CYP46A1,N/A,N/A,N/A,N/A,1,N/A
N-acetyl-L-aspartic acid,N/A,1,N/A,N/A,N/A,N/A
sulfo-N-succinimidyl oleate,N/A,N/A,1,N/A,N/A,N/A
CCDC3,N/A,1,0,N/A,N/A,N/A
CHIT1,N/A,N/A,-1,N/A,N/A,N/A
alpha-keto-beta-methylvaleric acid,N/A,1,N/A,N/A,N/A,N/A
pyrrolidonecarboxylic acid,N/A,1,N/A,N/A,N/A,N/A
PMID 35110406 compound 9,N/A,0,0,N/A,N/A,-1
BCYRN1,N/A,N/A,N/A,N/A,-1,N/A
RGS19,N/A,N/A,-1,N/A,N/A,N/A
mir-499,N/A,N/A,1,N/A,N/A,N/A
CEP120,N/A,N/A,N/A,N/A,1,N/A
sphinganine,N/A,N/A,-1,N/A,N/A,N/A
ANGPTL3,N/A,N/A,1,N/A,N/A,N/A
ZFHX3,N/A,-1,N/A,N/A,N/A,N/A
entacapone,N/A,N/A,1,N/A,N/A,N/A
GNE-495,N/A,N/A,1,N/A,N/A,N/A
ARAF,N/A,N/A,1,N/A,N/A,N/A
PRKAR2B,N/A,N/A,N/A,N/A,-1,N/A
MED15,N/A,N/A,1,N/A,N/A,N/A
DKC1,N/A,N/A,1,N/A,N/A,N/A
nebivolol,N/A,-1,0,N/A,N/A,N/A
CYD0618,N/A,N/A,1,N/A,N/A,N/A
CK2,N/A,N/A,1,N/A,N/A,N/A
PDHA1,N/A,-1,N/A,N/A,N/A,N/A
uridine,N/A,N/A,N/A,N/A,-1,N/A
LGK-974,N/A,N/A,-1,N/A,N/A,N/A
tryptase,N/A,N/A,1,N/A,N/A,N/A
PAFAH1B1,N/A,N/A,-1,N/A,N/A,N/A
ADGRL2,N/A,N/A,-1,N/A,N/A,N/A
silicon phthalocyanine,N/A,N/A,1,N/A,N/A,N/A
perfluorooctane sulfonic acid,N/A,1,N/A,N/A,N/A,N/A
TMEM106C,N/A,N/A,1,N/A,N/A,N/A
MS4A1,N/A,N/A,-1,N/A,N/A,N/A
CCBE1,N/A,-1,N/A,N/A,N/A,N/A
ACE,N/A,N/A,N/A,1,N/A,N/A
miR-411-5p (and other miRNAs w/seed AGUAGAC),N/A,-1,N/A,N/A,N/A,N/A
CBS/LOC102724560,N/A,N/A,N/A,N/A,-1,N/A
dBET6,N/A,N/A,N/A,N/A,-1,N/A
HADH,N/A,N/A,N/A,1,N/A,N/A
cilostamide,N/A,N/A,-1,N/A,N/A,N/A
RASSF10,N/A,N/A,-1,N/A,N/A,N/A
FGF3,N/A,N/A,-1,N/A,N/A,N/A
SNHG22,N/A,N/A,-1,N/A,N/A,N/A
CDK5RAP2,N/A,-1,N/A,N/A,N/A,N/A
BC-1215,N/A,N/A,-1,N/A,N/A,N/A
PARP3,N/A,1,N/A,N/A,N/A,N/A
WDR73,N/A,N/A,-1,N/A,N/A,N/A
Gm20703,N/A,N/A,1,N/A,N/A,N/A
TGFBR,N/A,-1,N/A,N/A,N/A,N/A
STK3,N/A,N/A,N/A,N/A,N/A,1
neratinib,N/A,N/A,N/A,N/A,N/A,1
7-ketocholesterol,N/A,-0.031,N/A,N/A,N/A,-0.963
UBE2E2,N/A,N/A,N/A,N/A,N/A,0.994
TXNIP,-0.277,-0.173,N/A,0.4,-0.141,N/A
SLC7A11-AS1,N/A,N/A,-0.988,N/A,N/A,N/A
SPNS2,N/A,-0.333,0.653,N/A,N/A,N/A
HDGF,N/A,N/A,0.985,N/A,N/A,N/A
AZGP1,N/A,N/A,N/A,-0.555,0.152,-0.277
midostaurin,N/A,N/A,N/A,N/A,0.984,N/A
CMTM7,N/A,N/A,0.983,N/A,N/A,N/A
NR4A3,N/A,N/A,0.733,0.246,N/A,N/A
RTN4,N/A,-0.479,-0.499,N/A,N/A,N/A
APOM,N/A,N/A,-0.975,N/A,N/A,N/A
eprenetapopt,N/A,N/A,0.82,N/A,N/A,0.152
STAT4 dimer,N/A,N/A,-0.971,N/A,N/A,N/A
C3,-0.771,N/A,N/A,-0.199,N/A,N/A
erchen decoction,N/A,N/A,N/A,N/A,N/A,0.97
EEF2K,N/A,N/A,0.97,N/A,N/A,N/A
icariin,N/A,-0.371,N/A,-0.594,N/A,N/A
ADIPOR1,N/A,0.732,-0.232,N/A,N/A,N/A
ELP3,N/A,N/A,-0.958,N/A,N/A,N/A
proteasome,N/A,N/A,-0.958,N/A,N/A,N/A
VLDLR,N/A,N/A,-0.605,N/A,N/A,-0.351
ARID3B,N/A,N/A,-0.954,N/A,N/A,N/A
G protein alpha,N/A,-0.943,N/A,N/A,N/A,N/A
MTO1,N/A,N/A,0.94,N/A,N/A,N/A
MIA,N/A,N/A,-0.94,N/A,N/A,N/A
NAE1,N/A,N/A,-0.493,N/A,N/A,0.447
BCL11B,-0.937,N/A,N/A,N/A,N/A,N/A
azurin 50-77,N/A,N/A,0.937,N/A,N/A,N/A
SNHG7,N/A,N/A,0.933,N/A,N/A,N/A
KDM6B,N/A,N/A,N/A,0.928,N/A,N/A
MFN2,N/A,N/A,0.928,N/A,N/A,N/A
ZNF365,N/A,N/A,0.927,N/A,N/A,N/A
FAIM2,N/A,N/A,-0.927,N/A,N/A,N/A
methylglyoxal-BSA,N/A,N/A,0.927,N/A,N/A,N/A
cilostazol,N/A,N/A,N/A,-0.927,N/A,N/A
prostaglandin E1,N/A,N/A,N/A,N/A,N/A,0.927
ANKHD1/ANKHD1-EIF4EBP3,N/A,-0.927,N/A,N/A,N/A,N/A
glyceraldehyde-BSA,N/A,N/A,0.927,N/A,N/A,N/A
S100A11,N/A,N/A,0.927,N/A,N/A,N/A
BAG3,N/A,N/A,-0.924,N/A,N/A,N/A
BMPR2,N/A,N/A,-0.921,N/A,N/A,N/A
EMP3,N/A,N/A,0.919,N/A,N/A,N/A
TRIM31,N/A,N/A,0.915,N/A,N/A,N/A
SNHG20,N/A,N/A,-0.912,N/A,N/A,N/A
DOCK2,N/A,-0.911,N/A,N/A,N/A,N/A
mir-135 (includes others),N/A,N/A,N/A,N/A,0.911,N/A
hydroxypropyl-beta-cyclodextrin,N/A,N/A,-0.173,N/A,N/A,0.737
LPCAT1,N/A,-0.908,N/A,N/A,N/A,N/A
IKZF2,N/A,N/A,0.905,N/A,N/A,N/A
IND S7,N/A,N/A,0.905,N/A,N/A,N/A
PRDX2,N/A,N/A,N/A,N/A,N/A,0.903
SNHG6,N/A,N/A,-0.9,N/A,N/A,N/A
NSUN2,N/A,N/A,0.9,N/A,N/A,N/A
mir-320 (includes others),N/A,N/A,-0.276,N/A,N/A,0.623
gallic acid,N/A,N/A,0.896,N/A,N/A,N/A
putrescine,N/A,N/A,-0.896,N/A,N/A,N/A
salinomycin,N/A,N/A,0.895,N/A,N/A,N/A
mir-451 (includes others),N/A,0.137,-0.202,N/A,N/A,-0.555
CHKA,N/A,N/A,-0.894,N/A,N/A,N/A
mir-497 (includes others),N/A,N/A,-0.105,N/A,N/A,0.784
ZNF451,N/A,N/A,-0.886,N/A,N/A,N/A
PLA2G2A,N/A,-0.884,N/A,N/A,N/A,N/A
PCGF2,N/A,N/A,N/A,-0.883,N/A,N/A
RXR,N/A,0.881,N/A,N/A,N/A,N/A
IL11RA,N/A,N/A,-0.875,N/A,N/A,N/A
RAB1B,N/A,0.308,0.565,N/A,N/A,N/A
diallyl trisulfide,N/A,N/A,-0.862,N/A,N/A,N/A
LPIN1,N/A,0.861,N/A,N/A,N/A,N/A
PDGF-AB,N/A,-0.555,N/A,N/A,N/A,0.305
PROK1,N/A,-0.858,N/A,N/A,N/A,N/A
EOMES,0.152,0.133,N/A,-0.389,-0.183,N/A
RP4_773N104,N/A,N/A,0.854,N/A,N/A,N/A
glucosamine,-0.513,N/A,N/A,0.339,N/A,N/A
CLEC11A,N/A,N/A,-0.852,N/A,N/A,N/A
DASA-58,N/A,N/A,0.849,N/A,N/A,N/A
alpha-ketoisocaproic acid,N/A,N/A,-0.849,N/A,N/A,N/A
AKAP12,N/A,N/A,N/A,N/A,0.849,N/A
CD9,N/A,-0.849,N/A,N/A,N/A,N/A
Rhodobacter sphaeroides lipopolysaccharide,N/A,N/A,0.849,N/A,N/A,N/A
di(2-ethylhexyl) phthalate,N/A,-0.847,N/A,N/A,N/A,N/A
AURKB,N/A,N/A,-0.847,N/A,N/A,N/A
"ammonium trichloro(dioxoethylene-O,O'-)tellurate",N/A,N/A,0.845,N/A,N/A,N/A
BTNL2,N/A,N/A,-0.286,0.555,N/A,N/A
phospholipid,N/A,0.831,N/A,N/A,N/A,N/A
CDKN2AIP,N/A,N/A,N/A,N/A,N/A,0.831
thymoquinone,N/A,N/A,0.326,N/A,N/A,0.505
LINC00662,N/A,N/A,N/A,N/A,N/A,-0.83
LETMD1,N/A,N/A,-0.821,N/A,N/A,N/A
ritonavir,N/A,0.469,0.351,N/A,N/A,N/A
IFRD1,N/A,0.218,N/A,N/A,-0.152,0.447
GNRH2,N/A,N/A,0.817,N/A,N/A,N/A
miR-382-5p (miRNAs w/seed AAGUUGU),N/A,N/A,0.816,N/A,N/A,N/A
triclosan,N/A,N/A,-0.816,N/A,N/A,N/A
GCDH,N/A,N/A,-0.816,N/A,N/A,N/A
bendamustine,N/A,N/A,0.816,N/A,N/A,N/A
MBTD1,N/A,N/A,N/A,N/A,N/A,-0.816
UBR5,N/A,N/A,N/A,0,0.816,N/A
LRAT,N/A,N/A,-0.816,N/A,N/A,N/A
UT-143,N/A,N/A,0.816,N/A,N/A,N/A
IL2RG,N/A,N/A,N/A,N/A,-0.816,N/A
CD53,N/A,0,-0.816,N/A,N/A,N/A
NCAPG,N/A,N/A,-0.816,N/A,N/A,N/A
INCB054329,N/A,N/A,-0.813,N/A,N/A,N/A
CDK8,N/A,-0.806,N/A,N/A,N/A,N/A
CDH5,N/A,N/A,0.805,N/A,N/A,N/A
POU4F2,N/A,N/A,N/A,0.563,-0.239,N/A
MGAT3,N/A,0.796,N/A,N/A,N/A,N/A
